word_id,headword,pos,meaning_ko,level,en,ko
1249,measure,v,측정하다; 재다,1,Please measure the length of this table.,이 탁자의 길이를 재 주세요.
1249,measure,v,측정하다; 재다,2,The teacher used a simple test to measure how much the students had learned.,선생님은 학생들이 얼마나 배웠는지 측정하기 위해 간단한 시험을 사용했다.
1249,measure,v,측정하다; 재다,3,"Economists often struggle to measure well-being accurately, since happiness cannot be captured by income statistics alone.",경제학자들은 행복이 소득 통계만으로 포착될 수 없기 때문에 흔히 복지를 정확히 측정하는 데 어려움을 겪는다.
1249,measure,n,조치; 척도; 측정; 정도,1,The city took a new measure to reduce traffic.,그 도시는 교통을 줄이기 위한 새로운 조치를 취했다.
1249,measure,n,조치; 척도; 측정; 정도,2,The school introduced safety measures that helped students feel more secure on campus.,학교는 학생들이 교내에서 더 안전하게 느끼도록 돕는 안전 조치를 도입했다.
1249,measure,n,조치; 척도; 측정; 정도,3,"Test scores are only one measure of intelligence, and relying on them alone may overlook creativity and emotional insight.","시험 점수는 지능의 한 가지 척도일 뿐이며, 그것에만 의존하면 창의성과 정서적 통찰을 간과할 수 있다."
286,colleague,n,동료; 직장 동료,1,My colleague helped me finish the report today.,내 동료가 오늘 보고서를 끝내는 것을 도와주었다.
286,colleague,n,동료; 직장 동료,2,She often asks a colleague for advice when she faces a difficult problem at work.,그녀는 직장에서 어려운 문제에 부딪힐 때 종종 동료에게 조언을 구한다.
286,colleague,n,동료; 직장 동료,3,"Effective teamwork depends on trust among colleagues, who must share information openly rather than compete for individual recognition.","효과적인 팀워크는 동료들 사이의 신뢰에 달려 있는데, 그들은 개인적 인정을 두고 경쟁하기보다 정보를 공개적으로 공유해야 한다."
427,crisis,n,위기; 고비,1,The country is going through a serious money crisis.,그 나라는 심각한 돈 위기를 겪고 있다.
427,crisis,n,위기; 고비,2,"When the crisis hit the city, many families had to leave their homes quickly.","위기가 그 도시를 강타했을 때, 많은 가정이 서둘러 집을 떠나야 했다."
427,crisis,n,위기; 고비,2,The school held a meeting to discuss how to manage the growing crisis among students.,학교는 학생들 사이에서 커지는 위기를 어떻게 관리할지 논의하기 위해 회의를 열었다.
427,crisis,n,위기; 고비,3,"During an economic crisis, governments must balance immediate relief with long-term reforms that address the underlying structural weaknesses of the system.","경제 위기 동안 정부는 즉각적인 구제와, 그 체제의 근본적인 구조적 약점을 다루는 장기적 개혁 사이에서 균형을 잡아야 한다."
1923,solve,v,풀다; 해결하다,1,Can you solve this easy math problem for me?,이 쉬운 수학 문제를 나 대신 풀어 줄 수 있니?
1923,solve,v,풀다; 해결하다,2,The students worked together to solve the puzzle that the teacher had prepared.,학생들은 선생님이 준비한 퍼즐을 풀기 위해 함께 노력했다.
1923,solve,v,풀다; 해결하다,3,"To solve complex social problems, experts must combine data analysis with a deep understanding of human behavior.",복잡한 사회 문제를 해결하기 위해 전문가들은 데이터 분석과 인간 행동에 대한 깊은 이해를 결합해야 한다.
744,fare,n,운임; 요금,1,The bus fare went up last month.,버스 요금이 지난달에 올랐다.
744,fare,n,운임; 요금,2,Many students save money by buying a monthly pass instead of paying the daily fare.,많은 학생들이 매일 요금을 내는 대신 월정기권을 사서 돈을 아낀다.
744,fare,n,운임; 요금,3,"When the airline raised its fares sharply, passengers who could not afford the increase looked for alternative routes.","항공사가 요금을 급격히 인상하자, 그 인상을 감당할 수 없는 승객들은 대체 노선을 찾았다."
744,fare,v,지내다; (일이) 되어가다,1,How did you fare on the test?,시험은 어떻게 됐어?
744,fare,v,지내다; (일이) 되어가다,2,Small businesses often fare worse than large ones during an economic downturn.,소규모 사업체는 경기 침체 동안 대기업보다 더 나쁘게 지내는 경우가 많다.
744,fare,v,지내다; (일이) 되어가다,3,Species that can adapt quickly to shifting climates tend to fare better than those bound to a single fragile habitat.,변화하는 기후에 빠르게 적응할 수 있는 종은 하나의 취약한 서식지에 묶인 종보다 더 잘 살아가는 경향이 있다.
1332,naive,a,순진한; 세상 물정 모르는; 소박한,1,He is too naive to know the truth.,그는 진실을 알기에는 너무 순진하다.
1332,naive,a,순진한; 세상 물정 모르는; 소박한,2,It was naive of her to believe every promise that the stranger made.,낯선 사람이 한 모든 약속을 믿다니 그녀는 순진했다.
1332,naive,a,순진한; 세상 물정 모르는; 소박한,3,Assuming that markets always correct themselves is a naive view that ignores the complex psychology driving human behavior.,시장이 항상 스스로 조정된다고 가정하는 것은 인간 행동을 이끄는 복잡한 심리를 무시하는 순진한 견해다.
1551,possible,a,가능한; 있을 수 있는,1,Is it possible to finish this work today?,오늘 이 일을 끝내는 것이 가능할까요?
1551,possible,a,가능한; 있을 수 있는,2,The teacher explained every possible way that we could solve the difficult math problem.,선생님은 우리가 그 어려운 수학 문제를 풀 수 있는 모든 가능한 방법을 설명하셨다.
1551,possible,a,가능한; 있을 수 있는,2,It is possible that the weather will change before we reach the mountain top.,우리가 산 정상에 도달하기 전에 날씨가 변할 가능성이 있다.
1551,possible,a,가능한; 있을 수 있는,3,Scientists carefully examine whether it is possible for such an experiment to produce reliable results under strictly controlled laboratory conditions.,과학자들은 그러한 실험이 엄격하게 통제된 실험실 조건에서 신뢰할 만한 결과를 낼 수 있는지 신중하게 검토한다.
1317,motor,n,모터; 전동기; 엔진,1,The small motor makes the toy car move fast.,작은 모터가 장난감 자동차를 빠르게 움직이게 한다.
1317,motor,n,모터; 전동기; 엔진,2,The engineer replaced the broken motor so that the machine could run again.,기술자는 고장 난 모터를 교체해서 기계가 다시 작동할 수 있게 했다.
1317,motor,n,모터; 전동기; 엔진,3,"Electric motors, which convert electrical energy into mechanical motion, have become central to efforts aimed at reducing global carbon emissions.",전기 에너지를 기계적 운동으로 바꾸는 전동기는 전 지구적 탄소 배출을 줄이려는 노력의 핵심이 되었다.
1317,motor,a,운동의; 자동차의; 원동력의,1,Babies slowly develop their motor skills each day.,아기들은 매일 조금씩 운동 능력을 발달시킨다.
1317,motor,a,운동의; 자동차의; 원동력의,2,Teachers plan simple games because they help children improve their motor skills naturally.,교사들은 아이들이 운동 능력을 자연스럽게 향상하도록 돕기 때문에 간단한 게임을 계획한다.
1317,motor,a,운동의; 자동차의; 원동력의,3,"Fine motor control, which depends on the precise coordination of small muscles, tends to decline gradually as the human nervous system ages.",작은 근육들의 정밀한 협응에 의존하는 미세 운동 조절 능력은 인간의 신경계가 노화함에 따라 점진적으로 감퇴하는 경향이 있다.
1739,resource,n,자원; 재료; 수단,1,Water is a very important resource for all living things.,물은 모든 생물에게 매우 중요한 자원이다.
1739,resource,n,자원; 재료; 수단,2,Our school offers many learning resources that help students study on their own.,우리 학교는 학생들이 스스로 공부하도록 돕는 많은 학습 자원을 제공한다.
1739,resource,n,자원; 재료; 수단,3,"As natural resources grow scarce, societies must develop technologies that use energy more efficiently and reduce needless waste.","천연자원이 점점 부족해짐에 따라, 사회는 에너지를 더 효율적으로 사용하고 불필요한 낭비를 줄이는 기술을 개발해야 한다."
1739,resource,v,자원을 공급하다,1,The school was not well resourced for science classes.,그 학교는 과학 수업을 위한 자원이 잘 갖춰져 있지 않았다.
1739,resource,v,자원을 공급하다,2,The government promised to resource the new hospital so that it could treat more patients.,정부는 더 많은 환자를 치료할 수 있도록 새 병원에 자원을 공급하겠다고 약속했다.
1739,resource,v,자원을 공급하다,3,"Unless research centers are adequately resourced, even brilliant scientists cannot pursue the long-term projects that lead to genuine breakthroughs.","연구 기관에 충분한 자원이 공급되지 않으면, 뛰어난 과학자들조차 진정한 돌파구로 이어지는 장기 프로젝트를 추진할 수 없다."
335,condition,n,상태; 조건; 질환,1,The old bike is still in good condition.,그 낡은 자전거는 아직 상태가 좋다.
335,condition,n,상태; 조건; 질환,2,You can join the club on the condition that you attend every weekly meeting.,매주 회의에 참석한다는 조건으로 그 동아리에 가입할 수 있다.
335,condition,n,상태; 조건; 질환,3,Doctors warned that the patient's chronic condition could worsen unless environmental and dietary factors were carefully controlled.,"의사들은 환경적, 식이적 요인이 신중히 관리되지 않으면 환자의 만성 질환이 악화될 수 있다고 경고했다."
335,condition,v,조건을 형성하다; 길들이다,1,Warm weather can condition how we feel each day.,따뜻한 날씨는 우리가 매일 느끼는 기분을 좌우할 수 있다.
335,condition,v,조건을 형성하다; 길들이다,2,Advertisements often condition young people to want products they do not really need.,광고는 흔히 젊은이들이 실제로 필요하지 않은 제품을 원하도록 길들인다.
335,condition,v,조건을 형성하다; 길들이다,3,"Repeated exposure to certain stimuli can condition the brain to respond automatically, shaping habits long before we consciously notice them.","특정 자극에 반복적으로 노출되면 뇌가 자동적으로 반응하도록 길들여져, 우리가 의식적으로 인식하기 훨씬 전에 습관을 형성한다."
945,hang,v,걸다; 매달다; 늘어뜨리다,1,Please hang your coat on the hook by the door.,문 옆의 고리에 코트를 걸어 주세요.
945,hang,v,걸다; 매달다; 늘어뜨리다,2,She hung the family photos on the wall so that guests could see them.,그녀는 손님들이 볼 수 있도록 벽에 가족사진을 걸었다.
945,hang,v,걸다; 매달다; 늘어뜨리다,3,"Heavy clouds hung over the valley all morning, creating a gloomy atmosphere that discouraged the hikers from setting out.","짙은 구름이 아침 내내 계곡 위에 드리워져, 등산객들이 출발할 마음을 잃게 하는 음울한 분위기를 만들었다."
945,hang,n,거는 방식; 요령,1,I finally got the hang of riding a bike.,나는 마침내 자전거 타는 요령을 익혔다.
945,hang,n,거는 방식; 요령,2,"After a few lessons, students usually get the hang of solving these equations.","몇 번의 수업 후에, 학생들은 대개 이런 방정식을 푸는 요령을 익힌다."
945,hang,n,거는 방식; 요령,3,"Once you understand the hang of interpreting statistical data, the abstract patterns behind everyday events become surprisingly clear.","통계 자료를 해석하는 요령을 이해하고 나면, 일상적 사건 뒤에 숨은 추상적 패턴이 놀라울 만큼 분명해진다."
1039,inflate,v,부풀리다; 팽창시키다; (물가를) 상승시키다,1,He used a pump to inflate the balloon.,그는 펌프를 사용해 풍선을 부풀렸다.
1039,inflate,v,부풀리다; 팽창시키다; (물가를) 상승시키다,2,Some sellers inflate the prices of tickets when demand becomes very high.,일부 판매자들은 수요가 매우 높아지면 표 가격을 부풀린다.
1039,inflate,v,부풀리다; 팽창시키다; (물가를) 상승시키다,3,"Politicians may inflate economic figures to reassure the public, yet such distortions often erode long-term trust in official institutions.","정치인들은 대중을 안심시키기 위해 경제 수치를 부풀릴 수 있지만, 그러한 왜곡은 공공 기관에 대한 장기적 신뢰를 종종 훼손한다."
